,가평군,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,양평군,여주군,연천군,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시
2008,132383347000 ,547757445000 ,116761394000 ,172665040000 ,334909022000 ,136645364000 ,162766111000 ,209551933000 ,376004366000 ,123651470000 ,452659776000 ,1399364285000 ,757350873000 ,325539616000 ,433998042000 ,212825552000 ,381396629000 ,273394681000 ,218860195000 ,244404284000 ,193286403000 ,217356173000 ,963371563000 ,106574784000 ,360351921000 ,250813318000 ,360022094000 ,630083134000 ,206868212000 ,136033482000 ,514397028000 
2009,141908777000 ,644859335000 ,118346467000 ,223581843000 ,376683304000 ,143446361000 ,183501286000 ,360131733000 ,395269805000 ,127302394000 ,508578198000 ,1481184230000 ,895877829000 ,911155484000 ,461457051000 ,246216702000 ,391041540000 ,313453391000 ,248375265000 ,261765519000 ,193779724000 ,186173283000 ,929029840000 ,107486122000 ,477118006000 ,334741366000 ,392437776000 ,727685207000 ,211662060000 ,168910535000 ,622256570000 
2010,169389079000 ,671224581000 ,97333886000 ,228956079000 ,369747810000 ,148376628000 ,173013366000 ,569233083000 ,482147250000 ,145588096000 ,531204792000 ,977016195000 ,751625379000 ,489890035000 ,458686227000 ,247253827000 ,402637825000 ,254515706000 ,224312155000 ,272624419000 ,211324491000 ,172326422000 ,810675909000 ,143793849000 ,352829789000 ,328513303000 ,495296024000 ,616907154000 ,237917176000 ,143721182000 ,620935211000 
2011,154305090000 ,647153605000 ,98410662000 ,211300754000 ,353277701000 ,158902358000 ,203074875000 ,440474965000 ,474615005000 ,157347247000 ,561047995000 ,1009275625000 ,765699261000 ,394435735000 ,507333312000 ,287275065000 ,385738072000 ,250304680000 ,190708743000 ,252612851000 ,196597156000 ,175394796000 ,720885501000 ,131487571000 ,367890092000 ,324595369000 ,449498110000 ,577981627000 ,241927418000 ,164634497000 ,479815574000 
2012,173416553000 ,646967509000 ,83096259000 ,232259810000 ,415357967000 ,194674440000 ,197059477000 ,386997996000 ,492117814000 ,149108967000 ,578189072000 ,1032126908000 ,801602750000 ,467430645000 ,609531881000 ,290964248000 ,410824396000 ,262739520000 ,197993436000 ,285120963000 ,194514009000 ,196638803000 ,767927522000 ,131395170000 ,351961593000 ,347785118000 ,480162320000 ,585309322000 ,321489600000 ,297318072000 ,512411670000 
2013,179553246000 ,707450010000 ,89875254000 ,268583979000 ,333072998000 ,177132969000 ,211438716000 ,279299269000 ,517008672000 ,148606544000 ,605919966000 ,1214791100000 ,945610042000 ,442441807000 ,678510903000 ,344671010000 ,452156421000 ,315877446000 ,226094512000 ,264505984000 ,209949381000 ,178233412000 ,750209538000 ,150134676000 ,422484528000 ,322894836000 ,454266728000 ,562065515000 ,257990836000 ,240631311000 ,620940356000 
2014,183190680000 ,779588234000 ,71860107000 ,304131936000 ,413037636000 ,190562542000 ,404776502000 ,313861486000 ,631674884000 ,168880229000 ,650888309000 ,1399841533000 ,1043384638000 ,495443990000 ,743364659000 ,291838845000 ,521245304000 ,309691085000 ,231408830000 ,278280434000 ,202055045000 ,211574566000 ,812764195000 ,156475776000 ,398669565000 ,318889657000 ,499928650000 ,604163405000 ,321055298000 ,219212185000 ,643517884000 
2015,206814285000 ,848865311000 ,125433120000 ,313581956000 ,361764830000 ,213926519000 ,239097610000 ,374157080000 ,616917449000 ,181052182000 ,694826174000 ,1475398291000 ,1185033107000 ,596279702000 ,782715101000 ,321509460000 ,575233772000 ,295069435000 ,260192873000 ,289100688000 ,194419918000 ,234644187000 ,884525367000 ,178331015000 ,421021337000 ,364282605000 ,503596168000 ,660059735000 ,328276874000 ,200496401000 ,732290475000 
연도 종합평균,167620132125 ,686733253750 ,100139643625 ,244382674625 ,369731408500 ,170458397625 ,221840992875 ,366713443125 ,498219405625 ,150192141125 ,572914285250 ,1248624770875 ,893272984875 ,515327126750 ,584449647000 ,280319338625 ,440034244875 ,284380743000 ,224743251125 ,268551892750 ,199490765875 ,196542705250 ,829923679375 ,138209870375 ,394040853875 ,324064446500 ,454400983750 ,620531887375 ,265898434250 ,196369708125 ,593320596000 
면적별 평균,198672671 ,2561481737 ,2789405115 ,6347601938 ,857646505 ,5118870800 ,6094532771 ,1325789744 ,1087815296 ,1569405863 ,10728731934 ,8811748559 ,7376325226 ,3794750565 ,3875660789 ,506540185 ,7521952904 ,916470329 ,225478633141 ,271570343844 ,200266311234 ,193941021781 ,813242693922 ,142164256172 ,398251970484 ,333220837563 ,466198344969 ,619337981547 ,273277212031 ,203911736391 ,603186042000 
