인구수/km^2,가평군,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,양평군,여주군,연천군,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시
2006 ,66.92189166765 ,3489.90302126072 ,1743.81615598886 ,8216.98701298701 ,552.17814892136 ,5953.09309309309 ,7679.56043956044 ,784.27693420101 ,1087.20742358079 ,950.00000000000 ,16415.14981273410 ,6832.76640790402 ,8976.01156069364 ,2985.47864506627 ,4872.10212201591 ,304.38380917962 ,10780.99145299150 ,603.63519174992 ,101.15073487524 ,178.54019398323 ,68.43047337278 ,3479.62529274005 ,1376.04092677152 ,2523.40740740741 ,5223.22699386503 ,430.84091894235 ,463.10744538564 ,901.01942807247 ,201.31034482759 ,1494.64516129032 ,569.56937799043 
2007 ,65.82908616807 ,3429.18687057068 ,1695.71030640669 ,8206.36363636364 ,533.31477615403 ,5857.47747747748 ,7638.70879120879 ,786.54374548084 ,1038.71834061135 ,917.55485893417 ,16295.56179775280 ,6899.27311220889 ,8937.00247729149 ,2972.37113402062 ,4794.92705570292 ,295.77520780629 ,10763.40170940170 ,570.62520141798 ,99.22296912385 ,174.69998356074 ,69.11686390533 ,3242.52927400468 ,1315.48959918823 ,2581.38888888889 ,5080.12269938650 ,426.44776766363 ,445.91915589241 ,886.38288583279 ,200.00846944949 ,1467.47311827957 ,477.47136436132 
2008 ,68.72585042077 ,3546.25139873182 ,1944.37325905292 ,8164.07792207792 ,566.07051728137 ,5929.06906906907 ,7759.17582417582 ,837.96095444686 ,1117.03711790393 ,973.94984326019 ,16517.54681647940 ,6763.22512350035 ,9006.42444260941 ,3005.62592047128 ,4914.27718832891 ,316.70581857608 ,10723.58974358970 ,602.71350306155 ,103.62082716190 ,179.89807660694 ,68.28846153846 ,3599.29742388759 ,1405.89379333672 ,2514.87037037037 ,5341.09202453988 ,434.31296055483 ,474.65448060633 ,911.37961143855 ,204.09921355112 ,1564.30107526882 ,683.95824271422 
2009 ,69.38485243570 ,3547.18761656098 ,2016.21169916435 ,8263.74025974026 ,575.17281373231 ,5919.87987987988 ,7714.31318681319 ,858.87924801157 ,1158.73144104803 ,1000.82549634274 ,16572.58426966290 ,6909.20959774171 ,9070.59454995871 ,3046.75257731959 ,4903.79973474801 ,319.85363209252 ,10658.30769230770 ,610.67354173381 ,105.42212601117 ,181.28719381884 ,68.05029585799 ,3828.99297423888 ,1444.36664975478 ,2632.61111111111 ,5342.34355828221 ,436.24837451235 ,492.64972507059 ,919.51757258241 ,203.56442831216 ,1616.61290322581 ,746.93634913731 
2010 ,71.01576389712 ,3589.32114882506 ,2022.14484679666 ,9044.51948051948 ,601.68638366968 ,5942.31231231231 ,8056.67582417582 ,906.25090383225 ,1244.00873362445 ,1027.28317659352 ,16683.05243445690 ,7032.63232180663 ,9122.05615194055 ,3100.92047128130 ,4999.08488063660 ,334.07119624142 ,10749.24786324790 ,658.83983242024 ,110.45915460864 ,183.61170475095 ,68.00739644970 ,4375.38641686183 ,1508.04667681380 ,2755.29629629630 ,5348.13496932515 ,448.46120502818 ,541.27359191559 ,942.64789347304 ,204.53720508167 ,1637.09677419355 ,771.82253153545 
2011 ,71.53727628304 ,3631.72323759791 ,2013.53760445682 ,9349.35064935065 ,637.47158431918 ,5896.12612612613 ,8046.37362637363 ,973.13087490962 ,1275.00436681223 ,1032.53918495298 ,16657.30337078650 ,7032.10303458010 ,9233.66639141206 ,3102.47422680412 ,5039.13793103448 ,340.21322732201 ,10653.45299145300 ,669.90331936835 ,114.65307052524 ,183.52622061483 ,67.53994082840 ,4657.65807962529 ,1541.50854050397 ,2794.57407407407 ,5328.71165644172 ,453.02340702211 ,575.52831029871 ,960.88845230299 ,204.35208711434 ,1614.73118279570 ,788.52254603451 
2012 ,73.23456204812 ,3659.90302126072 ,1988.24512534819 ,9350.75324675325 ,660.54743678961 ,5818.16816816817 ,8027.50000000000 ,1081.41359363702 ,1320.66375545852 ,1041.44200626959 ,16590.80524344570 ,7016.73253352152 ,9479.39719240297 ,3096.06038291605 ,5030.32493368700 ,341.37874954825 ,10568.03418803420 ,668.13084112150 ,117.72929246895 ,184.00295906625 ,68.53254437870 ,4806.67447306792 ,1572.90377135126 ,2888.94444444444 ,5309.93865030675 ,453.70394451669 ,597.60142666072 ,976.50512988431 ,203.44222625529 ,1590.21505376344 ,798.38915470494 
2013 ,73.52969064833 ,3737.19507646401 ,1974.23398328691 ,9291.09090909091 ,687.50405938297 ,5736.60660660661 ,8021.97802197802 ,1176.94504699928 ,1361.88427947598 ,1047.33542319749 ,16496.38576779030 ,7024.34015525759 ,9731.70107349298 ,3113.52724594993 ,5059.11803713528 ,343.70256595591 ,10507.47008547010 ,664.93393490171 ,119.48615700125 ,184.02926187736 ,68.59467455621 ,4949.50819672131 ,1616.61931337730 ,2981.90740740741 ,5331.14110429448 ,456.39141742523 ,609.53782137019 ,996.79109364768 ,203.16515426497 ,1578.24731182796 ,809.23299985501 
2014 ,73.82956027024 ,3797.13912719135 ,1962.33983286908 ,9190.62337662338 ,718.39712363721 ,5651.71171171171 ,8104.03846153846 ,1286.69558929863 ,1402.16593886463 ,1050.44932079415 ,16380.99250936330 ,7002.22300635145 ,9984.88026424443 ,3126.81885125184 ,5050.60344827586 ,345.05240332490 ,10398.44444444440 ,675.15952304222 ,121.65204511792 ,186.23376623377 ,68.27514792899 ,5054.30913348946 ,1652.09369186538 ,2961.05555555556 ,5334.47852760736 ,456.92241005635 ,624.94575717046 ,1018.81685221567 ,203.17483363581 ,1619.83870967742 ,830.12759170654 
2015 ,74.77183833116 ,3878.54904886236 ,1928.13370473538 ,9109.53246753247 ,751.69566225934 ,5650.30030030030 ,8091.09890109890 ,1326.00506146059 ,1440.24672489083 ,1055.90386624869 ,16276.49812734080 ,6984.20606916020 ,10090.62758051200 ,3164.72754050074 ,4997.37400530504 ,342.33827249729 ,10349.58974358970 ,684.62133419272 ,125.08260225590 ,187.48643761302 ,68.96005917160 ,5032.99765807962 ,1678.32910536107 ,2946.75925925926 ,5371.21472392638 ,457.43823146944 ,643.56070738594 ,1046.00742196027 ,202.52873563218 ,1811.44086021505 ,913.34493257938 
